block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6200, active 5445, size 48, leak 261360.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6000, active 5220, size 48, leak 250560.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6200, active 4879, size 48, leak 234192.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6000, active 4750, size 48, leak 228000.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6000, active 5892, size 48, leak 282816.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6000, active 5188, size 48, leak 249024.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6000, active 5044, size 48, leak 242112.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 6000, active 4568, size 48, leak 219264.
block 200, total 17200, active 14748, size 48, leak 707904.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 2600, active 1869, size 48, leak 89712.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 200, total 7200, active 6624, size 48, leak 317952.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 1600, active 1409, size 48, leak 67632.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 1600, active 1425, size 48, leak 68400.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 32, total 7168, active 7138, size 340, leak 2426920.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 2600, active 1673, size 48, leak 80304.
block 32, total 7168, active 7152, size 340, leak 2431680.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 200, total 2800, active 1843, size 48, leak 88464.
block 32, total 7200, active 7169, size 340, leak 2437460.
block 1000, total 33000, active 13820, size 12, leak 165840.
block 32, total 7168, active 7161, size 340, leak 2434740.
block 1000, total 33000, active 13822, size 12, leak 165864.
block 32, total 7168, active 7161, size 340, leak 2434740.
block 1000, total 33000, active 14008, size 12, leak 168096.
block 200, total 3000, active 1598, size 48, leak 76704.
block 32, total 7200, active 7191, size 340, leak 2444940.
block 1000, total 33000, active 13920, size 12, leak 167040.
block 200, total 2800, active 1589, size 48, leak 76272.
block 32, total 7168, active 7168, size 340, leak 2437120.
block 1000, total 33000, active 13808, size 12, leak 165696.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 47000, active 28020, size 12, leak 336240.
block 32, total 7200, active 7187, size 340, leak 2443580.
block 1000, total 33000, active 13882, size 12, leak 166584.
block 32, total 7168, active 7164, size 340, leak 2435760.
block 1000, total 33000, active 13826, size 12, leak 165912.
block 200, total 3000, active 1580, size 48, leak 75840.
block 32, total 7200, active 7179, size 340, leak 2440860.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 200, total 2600, active 1518, size 48, leak 72864.
block 32, total 7200, active 7178, size 340, leak 2440520.
block 1000, total 33000, active 13838, size 12, leak 166056.
block 200, total 2200, active 1448, size 48, leak 69504.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 33000, active 14066, size 12, leak 168792.
block 200, total 4200, active 3167, size 48, leak 152016.
block 32, total 7168, active 7159, size 340, leak 2434060.
block 1000, total 33000, active 13986, size 12, leak 167832.
block 200, total 2400, active 1399, size 48, leak 67152.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 33000, active 14358, size 12, leak 172296.
block 200, total 2400, active 1461, size 48, leak 70128.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 33000, active 13818, size 12, leak 165816.
block 200, total 2800, active 1868, size 48, leak 89664.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 33000, active 14154, size 12, leak 169848.
block 200, total 3800, active 1473, size 48, leak 70704.
block 32, total 7264, active 7238, size 340, leak 2460920.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 33000, active 13870, size 12, leak 166440.
block 32, total 7200, active 7169, size 340, leak 2437460.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 32, total 7200, active 7172, size 340, leak 2438480.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 200, total 2800, active 1409, size 48, leak 67632.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 33000, active 13826, size 12, leak 165912.
block 32, total 7200, active 7178, size 340, leak 2440520.
block 1000, total 33000, active 13846, size 12, leak 166152.
block 32, total 7168, active 7151, size 340, leak 2431340.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 200, total 2800, active 1493, size 48, leak 71664.
block 32, total 7200, active 7172, size 340, leak 2438480.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 200, total 3000, active 1727, size 48, leak 82896.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 32, total 14048, active 14030, size 340, leak 4770200.
